Review,sentiment_predicted
좋았어요~~ 굿굿 재미있었습니다,1
"음악과 압도적인 분위기, 인물들의 연기까지 어느 하나 소름끼치지 않은 게 없었던... 영화를 보고 난 후 여운이 너무 심해서 한 번 더 보려고 예매 또 했어요",1
영화관에서 꼭 봐야 하는 작품. 완벽함.,1
돈아깝지가 않네요. 아이맥스 강추,1
듄 동시대인이라 다행이다..,0
내가 있는 여기가 곧 아라키스고 듄이다,1
듄은 역시 아이맥스로 봐야 하는 것 같다. 그래서 3는 언제 나오나요ㅎㅎ,1
아이맥스 영상은 정말 대단하네요 몰입하면서 봤습니다,1
빅 프리즈(Big Freeze)로 수렴하는 초인의 성장기,1
긴 시간이 지루하지 않은 몰입감에 파트3 빨리 나왔으면 해요,1
소름끼치는 전율이 느껴지는 영화,1
"액션, 그래픽 다 좋았으나 쌓아올린 내용이나 복선에 비해 결국 전쟁하고 때려박는 뻔한 결과인게 아쉽.",0
최고의 영화 듄2!! 3도 기대할게요,1
영상도 연기도 좋아요~,1
감독 보다 연기의 힘이다,1
인생 첫 2회차 관람한 영화..,1
너무 재미있는데 자꾸 스타워즈 같은 느낌...,1
듄 재밌게 웅장한 스케일의 영화 봤습니다,1
페이드 로타 페이드 로타 😍,1
스케일은 더 커졌고 영상미도 더 아름다웠다...다만 스토리는 좀 미흡한 듯...,1
1편보다 몰입도나 내용도 재미있었어요 3편 나올듯하네요 ~ 티모시살라메 눈빛연기와 여친인 배우연기도 정말좋았어요,1
imax 로 보니 넘 좋았어요,1
"1편을 당일에 보고 바로 봣더니 너무흥미롭네요 ㅎㅎ 근데 3,4편을 볼지모르겟당….",1
2시간 넘어가는 영화는 엉덩이가 아프다.. >_< 리산 알 가입!,0
늦었지만 봤음. 웅장한 음악에 매료되다,1
생각보다 괜찮았던것같아요,1
듄1 못봐서 유튜브로 공부하고 갔더니 이해도가 확실하고 생각보다 지루하지않고 기대이상 잼있었어요~ 전쟁신 넘 웅장하고 스케일에 감탄했습니다 추천이요~!,1
믿고보는 드니뵐니브!! 역시,1
재미있어요 1편보고 보면 좋아요,1
나의 듄… 또 어떻게 기다리나,1
"역시.,.이런 대작 자주 만나고 싶습니다",1
오랜만에 긴장과 박진감 넘치는 영화를 본 느낌. 스케일도 있고 아이맥스로 봤었으면 하는 아쉬움이 남았다.,1
티모시의 연기력에 놀랬습니다. 27년까지 어떻게 기달려요!,1
리산 알 가입 리산 알 가입,1
듄2재밌어요~ 3편 너무 기대돼요 빨리나왔으몀,1
왕아맥 d열도 나름 괜찮았습니다👍🏻,1
정말 재밌었습니다. 듄 3 빨리 나와주세요.,1
파트1이 더 나았던거 같아요,0
전편을 안봐서 그런지 뜬금없는 모래 괴물도 그렇고 스토리도 썩 와 닿지 않네요 3시간이 그리 지루하진 않았지만 다음편이 기대 되지는 않네요,0
영화 시간 길어서 걱정했는데 지루할 시간이 없네요. 스토리 관계없이 영상미만으로도 재미있게 볼 수 있는 영화입니다. 배우들 연기도 좋고 영상도 좋아서 간만에 완전 몰입해서 영화 봤어요.,1
듄은 역시 사운드가 혁명이다,1
감사합니다. 잘 보았습니다.,1
리산 알 가입!!! 성전이 시작된다,1
너무 어려워요 내용을 이해못하겠네요,0
한껏 깊어진 고뇌와 함께 한껏 경이롭게 직면하는 장르의 쾌감.,1
최고의 영화. IMAX 꽉찬 화면으로 보니 몰입감도 너무 좋았음,1
N차 관람은 드디어 용아맥에서!! 오래 기다린 관람이었는데 이제 마음 편하게 보내 줄 수 있을 듯 합니다 😆,1
"Dune쳤다rr,,",1
완전 잼나게 봤습니다 역시 기대한만큼 잼있었음,1
1편도 좋았지만 2편이 더 좋아요. 긴 시간이 짧게 느껴졌어요. 아이맥스 상영관에서 보는 걸 추천합니다.,1
예상보다 아주 좋아~^^,1
1편을 안보고 파트 2 관람했는데 내용연결 어렵지 않았습니다. 영상미와 적절한 배경음악이 스토리와 배우연기에 몰입도를 높여주었어요. 조금 루스한 타임이 있긴했지만 3시간이 지겹지않고 충분히 영화를 즐기기에 좋았습니다.,1
끝나지않은2편 3편은 언제나올려나,1
최고네요 아이맥스입니다 아이맥스라구요,1
듄1보다 더 재밌었던 듄2 처음으로 4dx로 봤는데 너무너무 재밌었고 모래벌레 탈 때는 정말... 이래서 4dx로 보는구나 싶었습니다 대박이에요 3탄이 기대되네요 시간만 된다면 다시 보고 싶은 영화입니다,1
재미있게 잘 봤어요 또 보고 싶어요,1
듄 세계관때문에 종교적인 서사가 상당하지만 음악과 액션으로 극장에서 볼만해요,1
"티모시 배우 성장 기대, 전투장면 추천",0
정말 재미있었습니다. 무엇보다 한스짐머의 음악과 영화의 전반적인 사막의 황홀한 분위기가 함께 어우러져 영화를 보는내내 몰입되어 빠져드는 듯한 느낌을 받았습니다. 최고였습니다.,1
잼~있게 봤습니다^^,1
