movieCd,title,release_date,director,actors
20234675,파묘,20240222,장재현,"최민식, 김고은, 유해진, 이도현, 김재철, 김민준, 김병오, 전진기, 박정자, 박지일"
20236714,극장판 스파이 패밀리 코드  화이트,20240320,카타기리 타카시,"에구치 타쿠야, 타네자키 아츠미, 하야미 사오리"
20236295,듄 파트2,20240228,드니 빌뇌브,"티모시 샬라메, 젠데이아 콜먼, 레베카 퍼거슨, 조슈 브롤린, 오스틴 버틀러, 플로렌스 퓨, 데이브 바티스타, 크리스토퍼 월켄, 스티븐 헨더슨, 레아 세이두"
20236732,가여운 것들,20240306,요르고스 란티모스,"엠마 스톤, 마크 러팔로, 윌렘 데포"
20236568,목스박,20240320,고훈,"오대환, 지승현, 김정태, 이영준, 김영훈"
20234789,패스트 라이브즈,20240306,셀린 송,"그레타 리, 유태오, 존 마가로"
20236488,밥 말리 원 러브,20240313,레이날도 마커스 그린,"킹슬리 벤-어디어, 라샤냐 린치, 제임스 노턴"
20247782,랜드 오브 배드,20240313,윌리엄 유뱅크,"러셀 크로우, 리암 헴스워스, 루크 헴스워스, 마일로 벤티밀리아"
20247962,나이트 스윔,20240320,브라이스 맥과이어,"와이어트 러셀, 케리 콘든, 아멜리 호펄레, 개빈 워렌"
20247573,왓츠 러브,20240320,세자르 카푸르,"릴리 제임스, 샤자드 라티프, 엠마 톰슨"
